date,pid,price,regular,promo,label,until
2026-09-16,0082840-plus,2.19,2.99,1,Lidl Plus -26%,2026-09-16
2026-09-16,0080451-plus,1.49,1.99,1,Lidl Plus -25%,2026-09-16
2026-09-16,0080415-plus,1.39,1.79,1,Lidl Plus -27%,2026-09-16
2026-09-16,5104962-plus,0.69,0.99,1,Lidl Plus -30%,2026-09-16
2026-09-16,0002613-plus,5.99,7.99,1,Lidl Plus -25%,2026-09-16
2026-09-16,6003131-plus,2.39,2.99,1,Lidl Plus -20%,2026-09-16
2026-09-16,6012306-plus,2.39,2.99,1,Lidl Plus -20%,2026-09-16
2026-09-16,0003855-plus,5.95,7.99,1,Lidl Plus -25%,2026-09-16
2026-09-16,0022808-plus,0.99,1.49,1,Lidl Plus -33%,2026-09-16
2026-09-16,0001018-plus,4.99,6.99,1,Lidl Plus -28%,2026-09-16
2026-09-16,0002036-plus,10.49,13.99,1,Lidl Plus -25%,2026-09-16
2026-09-16,0001005-plus,8.79,10.99,1,Lidl Plus -20%,2026-09-16
2026-09-16,0472226-plus,39.90,49.90,1,Lidl Plus -20%,2026-09-16
2026-09-16,0495194-plus,24.90,29.90,1,Lidl Plus -16%,2026-09-16
2026-09-16,0500471-plus,9.99,14.99,1,Lidl Plus -33%,2026-09-16
2026-09-16,0517487-plus,34.90,39.90,1,Lidl Plus -12%,2026-09-16
2026-09-16,0514200-plus,59.90,69.90,1,Lidl Plus -14%,2026-09-16
2026-09-16,0517486-plus,34.90,39.90,1,Lidl Plus -12%,2026-09-16
2026-09-16,0544860-plus,5.99,7.99,1,Lidl Plus -25%,2026-09-16
2026-09-16,0517392-plus,29.90,34.90,1,Lidl Plus -14%,2026-09-16
2026-09-16,5109900-plus,6.35,7.99,1,Lidl Plus -20%,2026-09-19
2026-09-16,0077845-plus,1.59,1.99,1,Lidl Plus -20%,2026-09-19
2026-09-16,6002836-plus,1.49,1.85,1,Lidl Plus -19%,2026-09-19
2026-09-16,0063013-plus,2.59,3.15,1,Lidl Plus -17%,2026-09-19
2026-09-16,0116119-plus,2.29,2.99,1,Lidl Plus -23%,2026-09-19
2026-09-16,1016378-plus,2.35,2.95,1,Lidl Plus -20%,2026-09-19
2026-09-16,1016376-plus,2.35,2.95,1,Lidl Plus -20%,2026-09-19
2026-09-16,1016380-plus,2.35,2.95,1,Lidl Plus -20%,2026-09-19
2026-09-16,6002908-plus,2.99,3.99,1,Lidl Plus Action,2026-09-19
2026-09-16,6000214-plus,2.99,3.99,1,Lidl Plus Action,2026-09-19
2026-09-16,6000213-plus,2.99,3.99,1,Lidl Plus Action,2026-09-19
2026-09-16,0514012-plus,9.99,11.99,1,Lidl Plus -16%,2026-09-19
2026-09-16,0539333-plus,14.99,19.99,1,Lidl Plus -25%,2026-09-19
2026-09-16,0540169-plus,19.90,24.90,1,Lidl Plus -20%,2026-09-19
2026-09-16,0540170-plus,19.90,24.90,1,Lidl Plus -20%,2026-09-19
2026-09-16,0539145-plus,24.90,29.90,1,Lidl Plus -16%,2026-09-19
2026-09-16,0516982-plus,19.90,24.90,1,Lidl Plus -20%,2026-09-19
2026-09-16,0539378-plus,29.90,34.90,1,Lidl Plus -14%,2026-09-19
2026-09-16,0080220,1.99,2.79,1,-28%,2026-09-16
2026-09-16,0084520,1.49,1.99,1,-25%,2026-09-16
2026-09-16,0082840,2.29,2.99,1,-23%,2026-09-16
2026-09-16,0084611,2.59,3.29,1,-21%,2026-09-16
2026-09-16,0080285,2.39,2.99,1,-20%,2026-09-16
2026-09-16,0080521,3.79,4.99,1,-24%,2026-09-16
2026-09-16,0080041,0.45,0.59,1,-23%,2026-09-16
2026-09-16,0166211,1.69,1.99,1,-15%,2026-09-16
2026-09-16,0099773,0.99,0.99,0,Action,
2026-09-16,0186006,0.99,0.99,0,Action,
2026-09-16,0092778,1.99,2.89,1,-31%,2026-09-16
2026-09-16,0205406,1.99,2.99,1,-33%,2026-09-16
2026-09-16,5111262,1.89,1.89,0,Action,
2026-09-16,0228889,1.79,1.79,0,Action,
